dataset,MERINA,BOLA,RobustMPC
FCC,1.175318618469465,0.9516002290730696,0.9896826146283189
HSDPA,1.2739382491468514,1.1111038351314393,1.1639868065430978
Oboe,1.8272986693791509,1.6264801262723736,1.769907688328279
Puffer-2017,0.8029719404007606,0.8753514223542234,0.7579049844883441
Puffer-2018,0.9172971692437555,0.7532953338176869,0.7934119066438898
